n_element = 1395411 , t_a_compute = 0.006090 seconds, bandwidth = 229.113770 GBytes/s, performance = 164.961914 GFlop/s, t_j_init = 0.003820 , t_j_init_copy = 0.004192 , t_a_init_copy = 0.007322 , t_j_end_copy = 0.003996 , t_a_end_copy = 0.007056
n_element = 1534952 , t_a_compute = 0.006688 seconds, bandwidth = 229.502128 GBytes/s, performance = 165.241532 GFlop/s, t_j_init = 0.004631 , t_j_init_copy = 0.004651 , t_a_init_copy = 0.008047 , t_j_end_copy = 0.004391 , t_a_end_copy = 0.007748
n_element = 1688447 , t_a_compute = 0.007362 seconds, bandwidth = 229.344368 GBytes/s, performance = 165.127945 GFlop/s, t_j_init = 0.004640 , t_j_init_copy = 0.005037 , t_a_init_copy = 0.009412 , t_j_end_copy = 0.004860 , t_a_end_copy = 0.008559
n_element = 1857291 , t_a_compute = 0.008110 seconds, bandwidth = 229.025331 GBytes/s, performance = 164.898238 GFlop/s, t_j_init = 0.005194 , t_j_init_copy = 0.005607 , t_a_init_copy = 0.009731 , t_j_end_copy = 0.005333 , t_a_end_copy = 0.009435
n_element = 2043020 , t_a_compute = 0.008840 seconds, bandwidth = 231.119357 GBytes/s, performance = 166.405937 GFlop/s, t_j_init = 0.005811 , t_j_init_copy = 0.006070 , t_a_init_copy = 0.010696 , t_j_end_copy = 0.005806 , t_a_end_copy = 0.010264
n_element = 2247322 , t_a_compute = 0.009867 seconds, bandwidth = 227.753256 GBytes/s, performance = 163.982344 GFlop/s, t_j_init = 0.006295 , t_j_init_copy = 0.006711 , t_a_init_copy = 0.011777 , t_j_end_copy = 0.006410 , t_a_end_copy = 0.011397
n_element = 2472054 , t_a_compute = 0.010658 seconds, bandwidth = 231.936226 GBytes/s, performance = 166.994083 GFlop/s, t_j_init = 0.006726 , t_j_init_copy = 0.007329 , t_a_init_copy = 0.012915 , t_j_end_copy = 0.007086 , t_a_end_copy = 0.012454
n_element = 2719259 , t_a_compute = 0.011834 seconds, bandwidth = 229.785551 GBytes/s, performance = 165.445597 GFlop/s, t_j_init = 0.007645 , t_j_init_copy = 0.008086 , t_a_init_copy = 0.014193 , t_j_end_copy = 0.007728 , t_a_end_copy = 0.013681
n_element = 2991184 , t_a_compute = 0.012810 seconds, bandwidth = 233.504336 GBytes/s, performance = 168.123122 GFlop/s, t_j_init = 0.007433 , t_j_init_copy = 0.008838 , t_a_init_copy = 0.015603 , t_j_end_copy = 0.008492 , t_a_end_copy = 0.015021
n_element = 3290302 , t_a_compute = 0.014143 seconds, bandwidth = 232.646352 GBytes/s, performance = 167.505373 GFlop/s, t_j_init = 0.009176 , t_j_init_copy = 0.009738 , t_a_init_copy = 0.017193 , t_j_end_copy = 0.009334 , t_a_end_copy = 0.016529
