n_element = 3619332 , t_a_compute = 0.031228 seconds, bandwidth = 115.899691 GBytes/s, performance = 83.447777 GFlop/s, t_j_init = 0.008913 , t_j_init_copy = 0.010627 , t_a_init_copy = 0.018763 , t_j_end_copy = 0.010260 , t_a_end_copy = 0.018121
n_element = 3981265 , t_a_compute = 0.034327 seconds, bandwidth = 115.981863 GBytes/s, performance = 83.506942 GFlop/s, t_j_init = 0.009801 , t_j_init_copy = 0.011676 , t_a_init_copy = 0.020618 , t_j_end_copy = 0.011266 , t_a_end_copy = 0.019935
n_element = 4379391 , t_a_compute = 0.037830 seconds, bandwidth = 115.766466 GBytes/s, performance = 83.351856 GFlop/s, t_j_init = 0.010780 , t_j_init_copy = 0.012836 , t_a_init_copy = 0.022719 , t_j_end_copy = 0.012388 , t_a_end_copy = 0.021925
n_element = 4817330 , t_a_compute = 0.041497 seconds, bandwidth = 116.087752 GBytes/s, performance = 83.583181 GFlop/s, t_j_init = 0.011857 , t_j_init_copy = 0.014105 , t_a_init_copy = 0.024953 , t_j_end_copy = 0.013606 , t_a_end_copy = 0.024095
n_element = 5299063 , t_a_compute = 0.045988 seconds, bandwidth = 115.227104 GBytes/s, performance = 82.963515 GFlop/s, t_j_init = 0.013100 , t_j_init_copy = 0.015566 , t_a_init_copy = 0.027478 , t_j_end_copy = 0.015138 , t_a_end_copy = 0.026519
n_element = 5828969 , t_a_compute = 0.050174 seconds, bandwidth = 116.175593 GBytes/s, performance = 83.646427 GFlop/s, t_j_init = 0.014323 , t_j_init_copy = 0.017050 , t_a_init_copy = 0.030198 , t_j_end_copy = 0.016433 , t_a_end_copy = 0.029150
n_element = 6411865 , t_a_compute = 0.056806 seconds, bandwidth = 112.872088 GBytes/s, performance = 81.267903 GFlop/s, t_j_init = 0.015748 , t_j_init_copy = 0.018762 , t_a_init_copy = 0.033212 , t_j_end_copy = 0.018087 , t_a_end_copy = 0.032118
n_element = 7053051 , t_a_compute = 0.060663 seconds, bandwidth = 116.265230 GBytes/s, performance = 83.710965 GFlop/s, t_j_init = 0.017347 , t_j_init_copy = 0.020604 , t_a_init_copy = 0.036613 , t_j_end_copy = 0.019869 , t_a_end_copy = 0.035254
n_element = 7758356 , t_a_compute = 0.066778 seconds, bandwidth = 116.181382 GBytes/s, performance = 83.650595 GFlop/s, t_j_init = 0.019101 , t_j_init_copy = 0.022669 , t_a_init_copy = 0.040169 , t_j_end_copy = 0.021865 , t_a_end_copy = 0.038761
n_element = 8534191 , t_a_compute = 0.073324 seconds, bandwidth = 116.390699 GBytes/s, performance = 83.801303 GFlop/s, t_j_init = 0.021004 , t_j_init_copy = 0.024938 , t_a_init_copy = 0.044225 , t_j_end_copy = 0.024186 , t_a_end_copy = 0.043605
n_element = 9387610 , t_a_compute = 0.080662 seconds, bandwidth = 116.381967 GBytes/s, performance = 83.795016 GFlop/s, t_j_init = 0.023071 , t_j_init_copy = 0.027416 , t_a_init_copy = 0.048616 , t_j_end_copy = 0.026424 , t_a_end_copy = 0.046874
n_element = 10326371 , t_a_compute = 0.088761 seconds, bandwidth = 116.338481 GBytes/s, performance = 83.763706 GFlop/s, t_j_init = 0.025397 , t_j_init_copy = 0.030136 , t_a_init_copy = 0.053424 , t_j_end_copy = 0.029047 , t_a_end_copy = 0.051586
n_element = 11359008 , t_a_compute = 0.097598 seconds, bandwidth = 116.385162 GBytes/s, performance = 83.797316 GFlop/s, t_j_init = 0.027952 , t_j_init_copy = 0.033139 , t_a_init_copy = 0.058791 , t_j_end_copy = 0.031996 , t_a_end_copy = 0.056839
n_element = 12494908 , t_a_compute = 0.107336 seconds, bandwidth = 116.409579 GBytes/s, performance = 83.814897 GFlop/s, t_j_init = 0.030711 , t_j_init_copy = 0.036426 , t_a_init_copy = 0.064647 , t_j_end_copy = 0.035150 , t_a_end_copy = 0.062390
n_element = 13744398 , t_a_compute = 0.118039 seconds, bandwidth = 116.439835 GBytes/s, performance = 83.836681 GFlop/s, t_j_init = 0.033816 , t_j_init_copy = 0.040071 , t_a_init_copy = 0.071147 , t_j_end_copy = 0.038644 , t_a_end_copy = 0.068641
